gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
4.073330974983887387e+01,-7.405625005099790314e+01,2.354719318936671524e+00,3.754470117716775246e-02,3.169940284378960221e-02,-9.072465154886839508e-03
4.073332225152289254e+01,-7.405626256919391892e+01,-8.995528069079488098e-01,1.181500062455332345e-01,-3.823862865724571292e-02,1.182556190445246402e-01
4.073330664327571782e+01,-7.405627952761136612e+01,9.024710006163730869e-01,4.963483758035009547e-02,5.393085878556019147e-02,3.025351422563988396e-02
4.073331297555490238e+01,-7.405625424750228092e+01,4.123267639231141812e-01,-2.395266126605694740e-03,7.477714391786859094e-02,-4.151228879557387896e-02
4.073331197758387390e+01,-7.405625936361838058e+01,2.162745560766721198e+00,-3.621294682106081242e-02,5.777189548087477422e-02,2.360217972880949283e-02
4.073331264392851381e+01,-7.405627098852075108e+01,1.687701396174322577e+00,-1.903455749954774054e-02,4.233617889267937695e-02,-2.005274477617587005e-03
4.073332124736104731e+01,-7.405624552425305751e+01,-8.625589436196200444e-01,-1.740665810389424931e-02,7.024061813881918304e-02,2.885570106569878071e-02
4.073331893817699267e+01,-7.405626721430432724e+01,1.103871950300978622e+00,1.909217068081231136e-02,-2.929196886092123517e-03,4.064006441175700354e-03
4.073333723134786766e+01,-7.405627137838850160e+01,1.658643528965301206e-01,-2.323141931075203837e-03,2.711388308641202172e-02,1.511893516017931427e-02
4.073331458169198527e+01,-7.405625230646032264e+01,-9.747961130681018771e-01,3.580717352367390749e-02,2.473613371856869109e-02,1.707910885301508128e-02
4.073330947176056327e+01,-7.405622374521483664e+01,-5.590756280317243920e-01,-1.913335913411932585e-02,2.713747716994971068e-02,4.640351297391998725e-02
4.073333686507354656e+01,-7.405625671736164861e+01,2.200755334978312661e+00,-5.571911792042984202e-02,-5.295956808236084584e-02,-1.307481239082158029e-03
4.073330635014955448e+01,-7.405626745305383452e+01,1.968442690760655811e+00,2.111421166388714743e-02,-3.516880562118523262e-02,7.019713700255923901e-03
4.073331178683073261e+01,-7.405625311080792983e+01,3.316500624302702593e-02,-5.375990622463604901e-02,-8.162621288708037104e-02,3.514988420439144057e-02
4.073331410546112608e+01,-7.405626221688208943e+01,3.809078159345538062e-01,-1.634199528222390549e-02,-5.595196346364780804e-02,-1.636404442881767007e-02
4.073333240373755615e+01,-7.405628283115211730e+01,-5.959332730720472426e-01,-5.208381650415236375e-02,6.483023996484621465e-02,-6.792997469433122160e-02
4.073331911380376624e+01,-7.405624683084128890e+01,-1.169655034889645950e+00,-3.706549407167975679e-02,-1.061499459570681980e-02,-4.335352927334322481e-02
4.073330424416087681e+01,-7.405626469084002395e+01,-4.591811174793712924e-01,-3.697733854359924049e-02,-3.607369528095011324e-02,-5.825082286138483223e-03
4.073331956302881451e+01,-7.405625703330184706e+01,3.117896291050030300e+00,5.457908748104681185e-02,-1.909907682266311774e-03,-6.379382000523457774e-02
4.073332715219547140e+01,-7.405626627894179137e+01,2.039443871823205523e+00,4.362463326003623854e-02,-4.432633600800387624e-02,-7.515786824928642751e-03
4.073334601813958500e+01,-7.405624486470449597e+01,-5.545443110455021696e-01,1.179492871512876316e-02,5.785121547774450118e-02,3.493776445276945697e-02
4.073331926834003269e+01,-7.405625154458172688e+01,1.521087132648938134e+00,-3.369246470229575463e-02,-1.921917126056410519e-02,-9.482645945401737414e-03
4.073332428563786323e+01,-7.405627892706390014e+01,-9.785940081488041509e-01,-2.135641832370324678e-02,9.337029532309153515e-03,5.177591584513662609e-02
4.073331169889613079e+01,-7.405625698552786673e+01,8.264978166574856733e-01,-1.154882371834844469e-02,8.191895008470251316e-02,8.331911904086369142e-03
4.073332767832377499e+01,-7.405626673525372894e+01,1.695074406608984230e+00,5.288493832290788732e-02,-5.059540450509492082e-03,-1.829763805975488655e-02
4.073332519528602091e+01,-7.405625806702731495e+01,-4.307893966058321533e-01,6.212080343525155229e-02,3.031826788290261851e-02,2.949015527248861901e-02
4.073332394980336346e+01,-7.405624572636534708e+01,-3.791361368460714476e-01,4.271500896049055390e-02,-3.255629906582890171e-02,6.374253164276942607e-02
4.073332629141538064e+01,-7.405624444850654697e+01,1.274144329902518469e-01,1.644005284913605675e-02,-4.705488689463810555e-03,-2.747289294302409160e-02
4.073332292071828675e+01,-7.405627475152410000e+01,-8.348097461122624963e-02,6.336255615860655888e-02,-3.441945170180586711e-02,-4.156573018842931594e-02
4.073333663315080599e+01,-7.405627614080167120e+01,-2.769918068665156441e-01,5.771102192923824314e-02,3.020887976410660536e-02,1.633167749113485084e-02
4.073333197677760609e+01,-7.405626621881522453e+01,-5.415435529480145949e-01,4.555762363269731663e-02,2.094631591431474552e-02,-3.348410375231072877e-02
4.073333282675366007e+01,-7.405627525772226250e+01,5.768315220976587554e-01,4.533004957464936702e-02,-3.906678086559516039e-02,3.469954631483823659e-02
4.073332238930910876e+01,-7.405627324235929620e+01,2.457770503742820190e-01,2.177301182906888483e-02,9.743220499760801845e-02,-4.821919131377484097e-02
4.073331808102609841e+01,-7.405625699232396641e+01,-1.475023713895436073e+00,-3.867881742803019884e-02,-4.341609249272301851e-02,-4.424736888213211261e-02
4.073330140768315744e+01,-7.405625957832286588e+01,6.043704527359605727e-01,9.381624833843645039e-03,4.190577284461974999e-02,2.732514878905976941e-02
4.073330395980723750e+01,-7.405627010935704391e+01,3.649844707246436837e-01,-1.005451073540975480e-03,-6.756178947451345340e-02,-9.310162398696641972e-03
4.073331475181672090e+01,-7.405626078815214441e+01,-5.588775434626643834e-01,-1.419291492966127943e-01,-1.615447516219879406e-02,-4.797268972909688595e-02
4.073332032478817410e+01,-7.405626537758280392e+01,1.590490370028405209e+00,-2.726589462237013692e-02,9.425665293271323630e-02,2.171682010082176539e-02
4.073332729924198503e+01,-7.405627631218379747e+01,-1.437523107041819070e+00,-1.954431103183174034e-02,-9.131032745557623315e-03,9.412636383853586336e-03
4.073330823343448515e+01,-7.405626228388162247e+01,1.154688315899745216e-01,3.230195720638048135e-02,5.789773351516404321e-02,-3.572894871191862470e-02
4.073333225780147160e+01,-7.405627487490932026e+01,1.623418541778643975e+00,1.768525988902760679e-02,-4.967165871714934733e-02,-2.253123458165995352e-02
4.073330354742476089e+01,-7.405626845653110024e+01,3.136328199947089335e-01,7.709242095573246023e-02,2.884736907258990402e-02,3.358551108417905801e-02
4.073332558316612761e+01,-7.405626449996364613e+01,1.805030082196842800e+00,5.066435116865779936e-02,-8.183559843043779203e-02,-3.207913436476154956e-02
4.073331800694717941e+01,-7.405622840918650240e+01,7.452727385626827239e-01,3.970798372563208445e-02,3.052695692842398445e-02,1.465534395212551334e-02
