mag_x (uT),mag_y (uT),mag_z (uT)
1.650998830805446360e+01,1.235786502859527225e+01,4.698362438952355546e+01
1.655289135393492117e+01,1.280335408350602933e+01,4.704560871712555326e+01
1.693352429881311139e+01,1.268490761267190514e+01,4.698783317344932442e+01
1.663747672153997570e+01,1.230640176157628041e+01,4.690073128177131423e+01
1.620038569000788442e+01,1.257620943565529004e+01,4.689553796166701716e+01
1.624031767002281157e+01,1.237701048300420936e+01,4.687192827080622237e+01
1.668584717696553810e+01,1.242386397779558749e+01,4.707326518993588849e+01
1.631818343343069344e+01,1.277132995187108477e+01,4.659952551984520852e+01
1.663838087866582427e+01,1.282564690665442164e+01,4.712123506489956526e+01
1.650003326396624459e+01,1.243863816702024927e+01,4.697217395946465501e+01
1.637497609565536649e+01,1.246801609627970286e+01,4.689375886418248740e+01
1.656999872983094235e+01,1.209211813984190087e+01,4.681088347208384448e+01
1.616462747519342358e+01,1.269825392870597369e+01,4.710228708206025772e+01
1.658646543807416762e+01,1.244097112320098475e+01,4.669297434780313694e+01
1.680934416874211479e+01,1.275885345468490684e+01,4.710783487306696315e+01
1.670648366235910487e+01,1.257459489937713393e+01,4.709724353075871761e+01
1.619960674028430958e+01,1.237933926264713591e+01,4.718449947547432544e+01
1.652155172212102130e+01,1.262164352257168254e+01,4.702937356273443470e+01
1.643638024793675712e+01,1.229568874280495372e+01,4.712747874208693588e+01
1.688828646645286469e+01,1.273752621863609846e+01,4.695758476874444654e+01
1.649564968829652045e+01,1.250046850168646628e+01,4.718097178521750834e+01
1.651398861911097171e+01,1.242275403501951736e+01,4.679174475820749279e+01
1.632971164285276799e+01,1.247896305619162405e+01,4.712883005502067135e+01
1.672716225606891527e+01,1.280259099180796767e+01,4.692265985436727505e+01
1.643098892382107934e+01,1.218479369378846933e+01,4.690853481408035464e+01
1.671370579712525029e+01,1.228815879365470565e+01,4.685126454709921262e+01
1.636084510082930876e+01,1.265931911571022184e+01,4.700746318855096462e+01
1.642560030709256580e+01,1.257900722805023896e+01,4.709202724396246964e+01
1.639274539841293077e+01,1.252516529390917732e+01,4.686749360015136290e+01
1.644057413060444262e+01,1.263573125095577332e+01,4.717743824063011004e+01
1.624044963716789525e+01,1.247695927818413963e+01,4.710185158724171828e+01
1.661929421799541018e+01,1.232217945846513274e+01,4.670764506840185959e+01
1.671245497697420390e+01,1.226232369835884839e+01,4.688990090203960648e+01
1.622543144383151770e+01,1.251631259973573762e+01,4.702087018143718922e+01
1.626466321271504256e+01,1.250550192874369948e+01,4.681711458020118499e+01
1.633577903458652969e+01,1.251394668556177159e+01,4.706058591598063856e+01
1.621577154254551090e+01,1.261500732652518408e+01,4.704308644492751768e+01
1.658618888517553458e+01,1.262561017834577370e+01,4.719862109775737480e+01
1.643947994472582508e+01,1.271804360433102765e+01,4.695088464724807409e+01
1.631909733555101383e+01,1.276114721629600801e+01,4.710708954918178648e+01
1.629675415402841665e+01,1.263680103149778056e+01,4.717393900295435571e+01
1.642752492866049252e+01,1.252444916641807282e+01,4.696816182008415552e+01
1.664383185190382619e+01,1.252636831208817725e+01,4.693777910389152908e+01
1.653306769780873964e+01,1.254727027629552971e+01,4.652634449924313742e+01
1.646100406345775724e+01,1.234839877561949351e+01,4.660917819463342937e+01
1.651793898897493662e+01,1.248032813322485346e+01,4.737999853253402449e+01
1.664656406505159936e+01,1.239046355675109901e+01,4.733755990373209954e+01
1.660462513663184581e+01,1.254570689265987049e+01,4.678688291445567415e+01
1.631945293994836277e+01,1.219668804217413083e+01,4.714138422421594043e+01
1.686272839535791945e+01,1.256230788496335649e+01,4.727462022805630681e+01
1.632478899343171008e+01,1.234827485563694083e+01,4.696005906220124615e+01
1.661579099245425439e+01,1.244538897482758877e+01,4.697032596915095581e+01
1.654807281024696408e+01,1.230723126305146486e+01,4.667461822094495716e+01
1.653974584081190713e+01,1.252201855374003969e+01,4.703677721913374654e+01
1.646184559811856829e+01,1.251265559347780787e+01,4.706774513385838077e+01
1.672296934235078325e+01,1.213743582773665963e+01,4.662875735546678868e+01
1.662915699682508475e+01,1.262267742833356543e+01,4.732460513725851570e+01
1.664013161199227753e+01,1.268138444566902301e+01,4.689054573837846362e+01
1.666666346561656198e+01,1.267693588811876104e+01,4.699290574108410112e+01
1.615164156041277721e+01,1.267822165939179335e+01,4.690685836863299585e+01
1.654981169814783115e+01,1.234834527502111889e+01,4.694722234974373976e+01
1.639711593030237324e+01,1.248861704574673581e+01,4.685763147305926424e+01
1.630081044721907091e+01,1.271628021024391231e+01,4.659849671400741045e+01
1.640641860559568244e+01,1.255934234496410973e+01,4.715905931933640005e+01
1.657357035588362848e+01,1.244813054512050243e+01,4.736536704015833266e+01
1.623412104309936765e+01,1.250777537455998178e+01,4.684113800767448055e+01
1.667417553472695957e+01,1.270488705652946315e+01,4.718134301969200095e+01
1.626695132728042736e+01,1.270522108290358254e+01,4.674134453298529479e+01
1.624822521663651997e+01,1.190074721746330511e+01,4.689047555880504348e+01
1.628759088935492372e+01,1.220232796814513243e+01,4.732516948627523590e+01
1.643289600300578002e+01,1.248906777670171486e+01,4.698410504357617867e+01
1.652811073992836199e+01,1.253058778951069918e+01,4.674292514814599286e+01
1.647403130007756289e+01,1.248995375018333220e+01,4.710193937443809631e+01
1.674296037765772027e+01,1.288023837749985923e+01,4.670131179232866003e+01
1.626742301559275816e+01,1.250640462097220329e+01,4.684660826962765867e+01
1.654723599200534423e+01,1.285830345547745779e+01,4.712030440112557983e+01
1.630494093148054091e+01,1.254189880921437528e+01,4.700601961692242270e+01
1.653040480875541363e+01,1.220229246204005769e+01,4.677767643797353969e+01
1.690854590599109741e+01,1.242828026550379228e+01,4.735613766220335918e+01
1.656743963131830100e+01,1.266094444866497248e+01,4.690822761792821893e+01
1.646193788538473513e+01,1.262618560304209048e+01,4.690674098253896318e+01
1.649914458398122719e+01,1.225577881899126886e+01,4.730423217392934987e+01
1.691371329606971941e+01,1.275626093133267780e+01,4.681435034635053682e+01
1.640911208455998604e+01,1.263930594519981909e+01,4.726729150477054020e+01
1.607592027987651662e+01,1.250383871622913823e+01,4.663379759653884804e+01
1.664220143293443854e+01,1.263218034882571672e+01,4.680875448859630694e+01
1.654459445619914959e+01,1.212787333900507214e+01,4.694333692019758786e+01
1.699348001716299450e+01,1.218105792976379576e+01,4.681695360082393620e+01
1.643914614261068508e+01,1.246283972998592660e+01,4.647225513114157280e+01
1.640047501644938777e+01,1.238027490970054423e+01,4.679681405765922619e+01
1.611894096337341509e+01,1.217530925974215883e+01,4.673317568065517236e+01
1.644678459993115283e+01,1.238296958674300363e+01,4.700638121891039134e+01
1.633206549877259306e+01,1.218957119522251098e+01,4.718906186929806523e+01
1.639486581047776426e+01,1.249700068665018016e+01,4.687650118085733197e+01
1.667439936842333026e+01,1.289760271250920454e+01,4.677860251770813704e+01
1.615409078594245074e+01,1.260189309233539490e+01,4.698103724252531777e+01
1.653201764944225971e+01,1.268882428020376274e+01,4.684404148080163566e+01
1.629787864612968207e+01,1.259104587836830191e+01,4.727518396612725837e+01
1.640095849488363910e+01,1.245638580213997315e+01,4.682493023143437227e+01
1.663088821809509810e+01,1.260552413587322995e+01,4.669930370937156994e+01
1.626540439582530695e+01,1.248707075583641668e+01,4.667134337764309748e+01
1.653213945135264140e+01,1.242895194185554431e+01,4.719108345276199401e+01
1.620792602346167754e+01,1.247276449959999134e+01,4.696741124111067478e+01
1.656275028762558321e+01,1.221220787807621555e+01,4.711227941317793011e+01
1.674325565611325928e+01,1.275912223321552652e+01,4.693756880007961740e+01
1.654322985585791628e+01,1.243829307949523688e+01,4.692743236469739543e+01
1.621127639115656294e+01,1.235214859420701217e+01,4.696442902840135503e+01
1.624574602739027895e+01,1.274787657907203275e+01,4.706494957856623529e+01
1.648158550074904838e+01,1.231599288825412053e+01,4.666074903676221908e+01
1.685140201756598088e+01,1.252666128279354929e+01,4.654565941734609424e+01
1.604702582351180951e+01,1.240941617695452415e+01,4.708820000324201516e+01
1.637358256889903529e+01,1.282385637532612499e+01,4.743119644193379258e+01
1.622909706856249201e+01,1.260946045423116502e+01,4.724051861204610248e+01
1.644088826319968533e+01,1.261272612259035419e+01,4.707129003860220706e+01
1.678648918092883591e+01,1.225757852957558214e+01,4.719062446501116170e+01
1.674680603350361352e+01,1.251725195650633715e+01,4.689701541037693033e+01
1.654967936642562520e+01,1.255335345222031407e+01,4.681433611238747972e+01
1.645853100761252108e+01,1.232017380501072523e+01,4.676720868087426197e+01
1.626839709610986517e+01,1.251350078327140913e+01,4.703613794163629791e+01
1.633795424134967433e+01,1.250659929638260515e+01,4.687322341510878232e+01
1.661751475918584475e+01,1.260261663474379468e+01,4.763912165913252039e+01
1.655044018992327537e+01,1.232630723708771825e+01,4.685784776534856633e+01
1.669645787674698312e+01,1.267388769670370863e+01,4.700480208482433397e+01
1.677150526362136773e+01,1.297179011450071151e+01,4.708893913151976562e+01
1.591270456791965948e+01,1.267689294426160274e+01,4.729797722235625912e+01
1.618625502642805714e+01,1.223919403663863292e+01,4.704571977617073486e+01
1.648877064806031001e+01,1.281418608036394424e+01,4.704738456523745782e+01
1.658187649390958995e+01,1.232258943288501563e+01,4.714495471566183227e+01
1.644098041150299849e+01,1.242263002087530488e+01,4.687258464816984116e+01
1.649343479059045592e+01,1.213326626520128393e+01,4.722107055737237147e+01
