gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.184812488225520238e-01,-6.037350483531626205e-02,-6.634161460865641187e-03
1.114036132162410896e-02,-4.731912888839858063e-03,5.625774719515866384e-02
-4.771641791036744518e-02,3.585155597283813667e-02,2.811163021057188488e-02
1.058042839186565734e-02,-4.775053622230104877e-02,-1.215294716383813478e-02
2.133655119871544475e-03,-5.055211028369346188e-02,1.826441844080791549e-02
-4.033905196638118071e-03,-7.810659718806399476e-02,-6.365874396119425120e-03
-1.144895702878762599e-02,-6.034855319182786532e-02,3.401950005489209894e-02
1.342396534183400245e-03,4.924143930293482102e-02,3.430577032257189213e-02
-2.440935236711909602e-04,-9.646944738729917868e-02,-1.308682850347009374e-02
1.402255303675642439e-02,-3.397583251137618887e-02,1.516034635531735009e-02
6.342770492533698901e-02,-3.127513206125621947e-02,-8.547716665041393824e-02
4.536234676785560332e-02,2.536627296092121373e-03,4.807138356248399913e-02
2.051576640844349209e-02,-8.054191463536239382e-02,-1.602448418153139958e-02
7.786488568541020949e-02,8.425108246944930379e-03,7.625843826154394016e-04
5.523975317653660733e-02,-5.174953810075128696e-02,-2.721855710801706490e-02
3.314763042774849719e-03,-1.719800568161927376e-02,1.503312000468474269e-02
6.953258658016157889e-02,6.220509696870069744e-02,-2.536531058684965423e-02
5.001699317601324829e-02,2.442043756363338272e-02,-9.233318420674960225e-02
-2.670608230406219114e-02,-4.020505192671885303e-02,2.683027123661962943e-02
-2.461965876794959193e-02,6.235926876000253555e-02,-5.620262973245728627e-02
-5.241770260089544109e-02,6.479178730776522128e-03,4.367638987500471748e-02
-1.416793929308554113e-02,-1.676536259467132847e-02,-3.733151746813952176e-02
2.640739182490105946e-02,6.270472378619472431e-02,7.761922173310447466e-04
-8.776549506954120505e-02,-1.606262039078723211e-02,-1.027275644883115721e-02
-2.320806850753216050e-02,-3.716275537961961223e-02,-7.458464101224586591e-03
5.136215977100775515e-02,-4.074995771190819197e-03,-1.723929067643135624e-02
1.008010386059422780e-02,-4.819627428272427877e-02,2.354506377978380846e-02
-2.674719555670820870e-02,-2.808467993061867368e-03,8.332418168668444258e-02
1.129972881403016900e-03,9.407818824642784350e-02,3.420575623951079003e-02
-6.494651000768467131e-02,-1.866186228073982850e-02,2.009809941163609795e-02
-4.935889520188056420e-03,4.914280833514993174e-02,-3.175835383344810872e-03
2.271052303988879348e-02,-9.416812910988218988e-03,-6.066262173896837251e-02
-4.319817697165691250e-02,-6.263113873556398759e-02,-2.701049327191156965e-02
-7.374355401079699113e-02,4.687672856963282647e-02,3.657892188290223084e-02
2.596672345113655925e-03,7.166706106678273971e-03,-1.144913199368608470e-01
3.568817286895401009e-02,6.112597386208654116e-02,-1.392492034731810692e-02
4.111849485933430359e-02,7.982192237164767792e-03,4.057471192886114714e-02
-5.176799518949309203e-02,1.622558506404011419e-02,5.272560880215420437e-02
-1.139307747273531762e-02,2.836144080630196088e-02,-4.264016055352782414e-02
-5.101819215965359283e-02,-4.262271816490826974e-03,-2.034449421175671402e-02
-6.900203993661037372e-02,1.032683278143257666e-01,-2.796333411804956259e-02
-4.494844109929525822e-02,2.831481164291124036e-02,4.507779120252992239e-02
4.654241677688499695e-02,9.485599047807479270e-03,1.013614629062390901e-02
3.624746256438146630e-03,-7.082880263641594398e-03,2.806384765722180416e-02
1.284662684757806490e-02,7.124752477342959252e-03,-2.326299911009833098e-03
8.020777294410212643e-02,1.165377210980134658e-02,3.517720735846857627e-02
3.940806055444099482e-02,4.494788658966375472e-02,1.118426700266886460e-02
-1.726377222922287000e-02,-4.142521040449971548e-02,-4.761042564365614710e-02
-5.645131522349335768e-02,-1.513328034846778657e-02,-5.696472239089837505e-03
-5.906475594179705010e-03,-3.231706158065125734e-02,-3.046209843774679016e-02
-6.120572798884211380e-02,-1.809421573362036614e-02,1.898618869637822004e-02
-2.133475659629434362e-02,-7.239892431142207208e-02,-8.618779439014472021e-02
-5.194754366620223107e-02,-4.714386803606458037e-02,-4.745859197461154561e-02
-1.503948910360520738e-02,9.512549070883636118e-03,-1.843517916202865731e-02
-3.038542654191239006e-02,-3.647639651958899110e-02,2.237848401498233279e-03
8.331350296589898211e-04,-1.871993965351363351e-02,-7.051377500598528724e-04
-1.786946795052045747e-02,-7.982491125212345939e-02,4.350686285665278374e-02
-3.904266558296944772e-02,-1.470618358081136542e-02,5.183166777840277767e-02
-1.296278308895664616e-02,3.560633805082438763e-02,-1.186759365324013349e-03
7.495043323081931885e-02,-4.246631813815775029e-03,5.287716799490441329e-03
3.198592627132289257e-02,-1.518300805065799126e-02,3.675646243504648164e-02
