accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.734375620745013573e-03,-2.950805938815265032e-03,-9.795934356943732269e+00
3.843205278075017585e-03,-3.508717463060283107e-04,-9.792224486152541374e+00
2.415658872771665917e-03,3.943734921495973341e-04,-9.803791154842258493e+00
-4.679368877283904965e-03,-4.194871496043994265e-03,-9.811608641716347279e+00
2.252560575948699129e-03,2.888956056563111215e-03,-9.789918123367170821e+00
-3.241707185024701645e-03,2.493237198847740935e-03,-9.808171970222508307e+00
-2.394302641338069085e-03,6.567438821621897566e-04,-9.811732724983631471e+00
-5.453549555798810214e-04,-2.974676477110947855e-03,-9.801700528583728200e+00
1.645046057595651173e-04,-7.010844896493621976e-03,-9.802226643424855723e+00
-2.867643649833144775e-03,1.069469032653204660e-04,-9.816137308346176482e+00
7.912144807261878299e-03,6.315510725843214400e-03,-9.796712329877237835e+00
-1.927542390859322309e-03,-4.419370143730907974e-03,-9.808881556233432164e+00
2.377245337462022788e-03,-3.621515334354989072e-03,-9.795147647822203041e+00
-4.035872603251962516e-03,-1.040368251265024260e-03,-9.792120942168152098e+00
5.130655139523212019e-03,-1.266261564714754855e-03,-9.808300125333373032e+00
4.996659650192113340e-03,-8.010800073696680915e-03,-9.797067538549391941e+00
4.269038055409728194e-03,-3.143244712310528169e-03,-9.804224575479784320e+00
3.116136044492417382e-03,8.514276311583366189e-03,-9.790788364042340319e+00
8.733163998994918423e-04,2.140367570214206372e-03,-9.811022609103737580e+00
-9.219983191752189819e-03,-4.264572573553272045e-03,-9.795962869610677970e+00
4.370743648038799556e-03,3.335343469350695624e-04,-9.789007326046835544e+00
-2.945908542191957684e-03,-3.404881425060204709e-03,-9.801043666427675660e+00
2.679849271316638200e-03,-8.947672628934907023e-04,-9.798108077061208121e+00
7.863265827036153462e-05,-2.203496988134492299e-03,-9.787673338054696970e+00
5.534567099659779346e-03,1.333341645793704794e-03,-9.814352673696937757e+00
1.218761075304300185e-03,-9.831325382982597592e-04,-9.798693786982049403e+00
-3.841420275975136744e-03,-6.595012150435947476e-04,-9.797901170471583043e+00
1.657293837496603322e-03,-3.257214267625540248e-03,-9.802735190160746015e+00
-1.638023440955083002e-04,1.604813980446919038e-03,-9.806705423544819666e+00
1.583614653660520011e-02,4.085275690827078893e-03,-9.793112346882322683e+00
3.085135006328904115e-03,7.840835220193551752e-03,-9.808577929613933932e+00
3.608042599196845893e-03,1.936641119645124767e-03,-9.816516872653867409e+00
-1.272020884225353752e-03,-5.664435141361511689e-03,-9.809029788243613268e+00
-3.482968095311519876e-03,2.886908086340859471e-03,-9.809472305553994076e+00
-2.251624168347352798e-03,2.950880473722387615e-03,-9.799747008588289177e+00
2.258359188430814502e-03,-4.582266637252027826e-03,-9.801947427183126393e+00
1.189953170759157976e-05,5.080914463990438262e-04,-9.808998268674223198e+00
-9.484888045424307024e-03,-2.883604460833065833e-03,-9.801995742324169925e+00
-3.723651422855533272e-03,-2.226253981385612618e-03,-9.824448268308161758e+00
-2.999765765838299618e-03,3.022729546839643920e-03,-9.797033619151864769e+00
2.467473839493204094e-03,1.121791297459951223e-02,-9.810655677213691916e+00
-4.934064131806069689e-03,-1.776640743286241487e-03,-9.805241562275508471e+00
-5.359925503361905735e-03,8.315659294620147274e-03,-9.790438952954863439e+00
1.387059086293544090e-04,3.640240296075060184e-03,-9.788525751379408391e+00
-2.497012699164558990e-03,-4.253244430905984280e-03,-9.799997766546987066e+00
1.541367502329425102e-03,1.188594005741159133e-03,-9.802363618131776590e+00
6.528757604035777609e-03,2.607881148228775002e-03,-9.806277835981696001e+00
-3.874833049040311036e-04,-1.412238201824868138e-03,-9.812685739363779192e+00
1.108336310284560328e-03,-4.345143566056741506e-03,-9.799372581161090778e+00
2.531783095591066436e-03,3.172503976158763325e-03,-9.815988436768412484e+00
5.705858499897375515e-03,-1.204968273816415560e-02,-9.801971044692997737e+00
6.025380487890886648e-04,1.882602014343917260e-03,-9.799372598072487506e+00
-7.883121998778636064e-03,5.327870296309051255e-03,-9.801662602202915409e+00
-3.719804946574066691e-03,-3.021970073182412078e-03,-9.800001119828936069e+00
-8.495591303563011787e-03,5.294839342058120513e-03,-9.803687069172219992e+00
-4.163536462927564137e-03,4.740323538699705891e-04,-9.805048401385883849e+00
1.385584389183682060e-03,-2.833685270258341597e-03,-9.801241397933880606e+00
-9.080845769333038831e-03,1.514399174076721828e-03,-9.803302826454773466e+00
-3.679531483983924760e-03,5.599089286121029449e-03,-9.802354514549190156e+00
5.163696637307922319e-03,2.449561974735709954e-03,-9.803213127183186160e+00
-1.005408237330837097e-02,7.144635496526000745e-03,-9.810523664504350094e+00
-9.923915389731216216e-03,7.940598541544184596e-03,-9.810574615464112469e+00
4.680397570762754320e-04,5.099401291772202686e-03,-9.801914951281370136e+00
7.833443990088454411e-05,3.639838275889563097e-04,-9.796559034679544808e+00
-5.898017758968537649e-05,3.314656335107909763e-03,-9.806706794422009210e+00
9.627650696797034752e-03,-8.557282884348376903e-04,-9.806107131446937686e+00
-6.761280671191495549e-04,-7.551156122286027499e-03,-9.799753555791866688e+00
-2.146715629877094054e-03,-8.914655038154554664e-03,-9.807034119393392757e+00
3.623391376044070127e-03,-1.392024259345245969e-03,-9.796290989456892362e+00
-1.046638558221552398e-02,4.364565580755372549e-03,-9.796336130895726413e+00
1.019100123006714620e-03,2.369814025748233875e-03,-9.796969453491534807e+00
-1.090091109225798174e-03,7.775125708525940094e-03,-9.815278239944266403e+00
-3.381155943958407588e-04,-5.585929267647840417e-03,-9.808729530309964417e+00
-4.525497813293736897e-03,-4.673407711579412663e-03,-9.800348991169006041e+00
5.686322364072007515e-03,-6.818246682082780043e-03,-9.810722870653210137e+00
-1.947193660837466186e-03,7.030931456547948781e-04,-9.813398396325101913e+00
8.030531979475050153e-03,-3.496717074793328421e-04,-9.809150782322943130e+00
-8.783507199528767934e-03,1.077459950830392081e-03,-9.821173572999477130e+00
-5.448588543266989423e-03,5.371823006215971710e-03,-9.809821761473138224e+00
-5.480753070948885322e-03,2.833456650931374162e-04,-9.806691809212992439e+00
2.594657999664987070e-04,-2.440428093895990070e-03,-9.817061451358998880e+00
2.544178061803415054e-03,-1.532253385912053095e-03,-9.804749973187815826e+00
-8.316333004751274433e-03,5.905613261089443129e-03,-9.795630304592370052e+00
2.051480306866328845e-03,9.492340796605927208e-03,-9.797127875211671721e+00
-4.126991634166202183e-03,1.030638543463590490e-03,-9.799826608091940727e+00
-6.839767126310927065e-03,-3.045813423605143989e-04,-9.808156101315406161e+00
4.953545268579500824e-03,-8.422337610547718512e-03,-9.801726881110706557e+00
-6.319501874571540126e-04,5.265547452261055625e-03,-9.812909284731160753e+00
-4.251953438916793583e-04,7.696363533481433844e-03,-9.790794983057326206e+00
1.285651108957110156e-02,-3.892910143646453967e-03,-9.786635004474369737e+00
3.697313229622912079e-03,-1.115721482475822606e-03,-9.803603903101176797e+00
5.318175846922262428e-04,-1.678591165826112067e-03,-9.797140824163902195e+00
6.923501412701475732e-03,-5.089301011973247114e-03,-9.809035793710171092e+00
-1.452300298079765416e-03,6.029592812745061640e-03,-9.804282182659800782e+00
-8.448120429980664941e-04,3.969634516967519670e-03,-9.807612090502942692e+00
2.478532183773691014e-03,2.799675605840208897e-03,-9.802341358466792443e+00
-6.113059667516629325e-03,3.110765903942201184e-03,-9.793230583575773807e+00
1.495797280435131379e-03,-7.513783727070819790e-03,-9.809164838812179710e+00
-1.150376620317085721e-03,-3.598592875017701375e-03,-9.808599160214907187e+00
-1.857167448319656418e-03,4.028962779813755751e-03,-9.802933084149556109e+00
-5.889613314575780495e-03,-3.264409606947590945e-03,-9.809080241741790829e+00
-6.640897683177183000e-03,2.305090965052567897e-03,-9.800462046555264095e+00
2.924394270284773594e-03,6.033178143365252981e-03,-9.806259790312790159e+00
-1.767580920900442640e-03,-2.922017529138305064e-03,-9.814035177896599293e+00
-7.133200835116015534e-03,2.382454044575757577e-03,-9.800985187121245445e+00
5.327932869365936512e-03,4.729959800073645949e-03,-9.804683099983845906e+00
-5.811961354640356181e-03,5.685900271511802433e-03,-9.813257970165844668e+00
1.589727931381958864e-02,-9.004351356361791486e-03,-9.795425274269417670e+00
6.275085688139555445e-03,2.287263288254505651e-03,-9.799977160612453275e+00
-1.200621340926593360e-02,-7.531358869029954918e-03,-9.807611388818942899e+00
-1.301863332126915488e-03,-3.957156602953535059e-03,-9.802520363007777959e+00
